total_volume,short_volume,reg_sho_date,ticker,short_exempt_volume,short_volume_ratio,reg_sho_asof
115249.416969,81540.449257,2026-09-18,ABM,0.0,0.7075129002946098,2026-09-18
4479.00471,3733.0,2026-09-18,ABM,0.0,0.8334440889659167,2026-09-18
228500.0,195000.0,2026-09-18,ABMBF,0.0,0.8533916849015317,2026-09-18
5734.7483,2978.0,2026-09-18,ABNB,0.0,0.5192904455806717,2026-09-18
1009538.233471,562005.98343,2026-09-18,ABNB,2831.0,0.5566960861875512,2026-09-18
75822.36322,39185.08129,2026-09-18,ABNB,36.0,0.5168011075611526,2026-09-18
3579.0932,1059.0,2026-09-18,ABND,0.0,0.2958850023799324,2026-09-18
2602.0,1.0,2026-09-18,ABOS,0.0,0.0003843197540353574,2026-09-18
90596.660393,62187.914409,2026-09-18,ABOS,0.0,0.6864261236477651,2026-09-18
6769.0,4740.0,2026-09-18,ABOS,0.0,0.7002511449253952,2026-09-18
9.7868,4.0,2026-09-18,ABOT,0.0,0.4087137777414477,2026-09-18
45162.0,27963.0,2026-09-18,ABPO,0.0,0.6191709844559585,2026-09-18
49750.7383,7226.0,2026-09-18,ABR,0.0,0.14524407570450065,2026-09-18
3136201.02034,1947495.114651,2026-09-18,ABR,3649.0,0.6209726678935489,2026-09-18
100767.11767,49837.28827,2026-09-18,ABR,466.0,0.49457888071395495,2026-09-18
17959.1771,5603.0,2026-09-18,ABRPD,0.0,0.3119853414664528,2026-09-18
100.0,100.0,2026-09-18,ABRPE,0.0,1.0,2026-09-18
2731.2002,458.0,2026-09-18,ABRPE,0.0,0.16769184477944896,2026-09-18
1028.4785,50.0,2026-09-18,ABRPF,0.0,0.04861550338679905,2026-09-18
24919.5,8649.0,2026-09-18,ABSI,0.0,0.3470775898392825,2026-09-18
1747407.0124,1060248.6437,2026-09-18,ABSI,13109.0,0.6067554016758735,2026-09-18
72600.48576,39735.60495,2026-09-18,ABSI,0.0,0.5473187201716045,2026-09-18
2300.0,2100.0,2026-09-18,ABSSF,0.0,0.9130434782608695,2026-09-18
3418.4096,1812.0,2026-09-18,ABT,0.0,0.5300710599455373,2026-09-18
2239936.691283,1489297.106851,2026-09-18,ABT,2147.0,0.6648835713289533,2026-09-18
114025.06376,102059.0,2026-09-18,ABT,0.0,0.8950576007991876,2026-09-18
35139.864796,20028.0,2026-09-18,ABTC,0.0,0.5699509692558579,2026-09-18
1881156.749505,896611.721205,2026-09-18,ABTC,16703.0,0.476627862851371,2026-09-18
79314.0,47858.0,2026-09-18,ABTC,0.0,0.6033991476914542,2026-09-18
53.0,53.0,2026-09-18,ABTS,0.0,1.0,2026-09-18
35683.621335,13832.0,2026-09-18,ABTS,3701.0,0.3876288191196836,2026-09-18
466.0,100.0,2026-09-18,ABTS,0.0,0.2145922746781116,2026-09-18
8226.6597,8222.0,2026-09-18,ABUF,0.0,0.9994335854198515,2026-09-18
1119.0,618.0,2026-09-18,ABUS,0.0,0.5522788203753352,2026-09-18
944123.862424,606067.364454,2026-09-18,ABUS,1500.0,0.6419362846077701,2026-09-18
1044137.0,1033952.0,2026-09-18,ABUS,0.0,0.9902455329137843,2026-09-18
201.01,201.0,2026-09-18,ABVC,0.0,0.9999502512312821,2026-09-18
86649.749192,54387.076847,2026-09-18,ABVC,0.0,0.6276657157597557,2026-09-18
1288.0,984.0,2026-09-18,ABVC,0.0,0.7639751552795031,2026-09-18
7197.0,100.0,2026-09-18,ABVEF,0.0,0.013894678338196471,2026-09-18
15134.089,10063.0,2026-09-18,ABVX,0.0,0.6649227449369434,2026-09-18
309218.368451,135390.42346,2026-09-18,ABVX,0.0,0.43784728616940005,2026-09-18
18380.019,11778.0,2026-09-18,ABVX,0.0,0.640804560648169,2026-09-18
248156.545355,132629.086867,2026-09-18,ABX,45846.0,0.534457338923975,2026-09-18
12155.0,6263.0,2026-09-18,ABX,594.0,0.5152612093788564,2026-09-18
8.547266,2.0,2026-09-18,ABXB,0.0,0.23399295166430994,2026-09-18
1213.9342,205.0,2026-09-18,ABXL,0.0,0.16887241499580455,2026-09-18
29999.0,14818.0,2026-09-18,ABXXF,0.0,0.4939497983266109,2026-09-18
